Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.46,0.43,0.43,48000,0.0,0.0
1980-03-18,0.0,0.45,0.43,0.43,28800,0.0,0.0
1980-03-19,0.0,0.46,0.43,0.43,22400,0.0,0.0
1980-03-20,0.0,0.45,0.43,0.43,14400,0.0,0.0
1980-03-21,0.0,0.45,0.43,0.43,17600,0.0,0.0
1980-03-24,0.0,0.45,0.43,0.43,41600,0.0,0.0
1980-03-25,0.0,0.44,0.42,0.42,16000,0.0,0.0
1980-03-26,0.0,0.44,0.42,0.42,38400,0.0,0.0
1980-03-27,0.0,0.41,0.38,0.38,65600,0.0,0.0
1980-03-28,0.0,0.42,0.39,0.39,46400,0.0,0.0
1980-03-31,0.0,0.43,0.41,0.41,22400,0.0,0.0
1980-04-01,0.0,0.43,0.4,0.4,33600,0.0,0.0
1980-04-02,0.0,0.43,0.4,0.4,16000,0.0,0.0
1980-04-03,0.0,0.43,0.4,0.4,9600,0.0,0.0
1980-04-07,0.0,0.43,0.4,0.4,11200,0.0,0.0
1980-04-08,0.0,0.42,0.39,0.39,72000,0.0,0.0
1980-04-09,0.0,0.43,0.41,0.41,27200,0.0,0.0
1980-04-10,0.0,0.46,0.43,0.43,115200,0.0,0.0
1980-04-11,0.0,0.47,0.44,0.44,83200,0.0,0.0
1980-04-14,0.0,0.46,0.43,0.43,38400,0.0,0.0
1980-04-15,0.0,0.45,0.43,0.43,94400,0.0,0.0
1980-04-16,0.0,0.45,0.43,0.43,51200,0.0,0.0
1980-04-17,0.0,0.45,0.43,0.43,46400,0.0,0.0
1980-04-18,0.0,0.45,0.43,0.43,64000,0.0,0.0
1980-04-21,0.0,0.45,0.43,0.43,36800,0.0,0.0
1980-04-22,0.0,0.46,0.43,0.43,12800,0.0,0.0
1980-04-23,0.0,0.45,0.43,0.43,20800,0.0,0.0
1980-04-24,0.0,0.45,0.43,0.43,3200,0.0,0.0
1980-04-25,0.0,0.44,0.42,0.42,62400,0.0,0.0
1980-04-28,0.0,0.46,0.43,0.43,27200,0.0,0.0
1980-04-29,0.0,0.45,0.43,0.43,60800,0.0,0.0
1980-04-30,0.0,0.45,0.43,0.43,60800,0.0,0.0
1980-05-01,0.0,0.44,0.42,0.42,32000,0.0,0.0
1980-05-02,0.0,0.43,0.41,0.41,32000,0.0,0.0
1980-05-05,0.0,0.43,0.41,0.41,44800,0.0,0.0
1980-05-06,0.0,0.43,0.4,0.4,8000,0.0,0.0
1980-05-07,0.0,0.47,0.44,0.44,192000,0.0,0.0
1980-05-08,0.0,0.47,0.44,0.44,83200,0.0,0.0
1980-05-09,0.0,0.47,0.44,0.44,30400,0.0,0.0
1980-05-12,0.0,0.47,0.44,0.44,14400,0.0,0.0
1980-05-13,0.0,0.48,0.45,0.45,16000,0.0,0.0
1980-05-14,0.0,0.48,0.45,0.45,91200,0.0,0.0
1980-05-15,0.0,0.48,0.45,0.45,52800,0.0,0.0
1980-05-16,0.0,0.48,0.45,0.45,35200,0.0,0.0
1980-05-19,0.0,0.47,0.44,0.44,32000,0.0,0.0
1980-05-20,0.0,0.47,0.44,0.44,20800,0.0,0.0
1980-05-21,0.0,0.47,0.44,0.44,28800,0.0,0.0
1980-05-22,0.0,0.47,0.44,0.44,344000,0.0,0.0
1980-05-23,0.0,0.47,0.44,0.44,28800,0.0,0.0
1980-05-27,0.0,0.48,0.45,0.45,43200,0.0,0.0
1980-05-28,0.0,0.48,0.45,0.45,49600,0.0,0.0
1980-05-29,0.0,0.47,0.44,0.44,25600,0.0,0.0
1980-05-30,0.0,0.47,0.44,0.44,11200,0.0,0.0
1980-06-02,0.0,0.47,0.44,0.44,25600,0.0,0.0
1980-06-03,0.0,0.48,0.45,0.45,96000,0.0,0.0
1980-06-04,0.0,0.49,0.46,0.46,155200,0.0,0.0
1980-06-05,0.0,0.49,0.46,0.46,32000,0.0,0.0
1980-06-06,0.0,0.48,0.45,0.45,49600,0.0,0.0
1980-06-09,0.0,0.48,0.45,0.45,41600,0.0,0.0
1980-06-10,0.0,0.48,0.45,0.45,11200,0.0,0.0
1980-06-11,0.0,0.49,0.46,0.46,43200,0.0,0.0
1980-06-12,0.0,0.49,0.46,0.46,59200,0.0,0.0
1980-06-13,0.0,0.49,0.46,0.46,52800,0.0,0.0
1980-06-16,0.0,0.5,0.47,0.47,35200,0.0,0.0
1980-06-17,0.0,0.49,0.46,0.46,49600,0.0,0.0
1980-06-18,0.0,0.49,0.46,0.46,49600,0.0,0.0
1980-06-19,0.0,0.49,0.46,0.46,36800,0.0,0.0
1980-06-20,0.0,0.49,0.46,0.46,73600,0.0,0.0
1980-06-23,0.0,0.5,0.47,0.47,52800,0.0,0.0
1980-06-24,0.0,0.5,0.47,0.47,40000,0.0,0.0
1980-06-25,0.0,0.5,0.48,0.48,57600,0.0,0.0
1980-06-26,0.0,0.5,0.48,0.48,32000,0.0,0.0
1980-06-27,0.0,0.51,0.49,0.49,67200,0.0,0.0
1980-06-30,0.0,0.5,0.47,0.47,150400,0.0,0.0
1980-07-01,0.0,0.5,0.48,0.48,44800,0.0,0.0
1980-07-02,0.0,0.51,0.49,0.49,30400,0.0,0.0
1980-07-03,0.0,0.51,0.49,0.49,32000,0.0,0.0
1980-07-07,0.0,0.5,0.49,0.49,32000,0.0,0.0
1980-07-08,0.0,0.5,0.49,0.49,12800,0.0,0.0
1980-07-09,0.0,0.5,0.49,0.49,16000,0.0,0.0
1980-07-10,0.0,0.49,0.47,0.47,70400,0.0,0.0
1980-07-11,0.0,0.48,0.47,0.47,51200,0.0,0.0
1980-07-14,0.0,0.47,0.46,0.46,94400,0.0,0.0
1980-07-15,0.0,0.47,0.46,0.46,88000,0.0,0.0
1980-07-16,0.0,0.48,0.46,0.46,78400,0.0,0.0
1980-07-17,0.0,0.52,0.5,0.5,164800,0.0,0.0
1980-07-18,0.0,0.54,0.52,0.52,83200,0.0,0.0
1980-07-21,0.0,0.53,0.52,0.52,192000,0.0,0.0
1980-07-22,0.0,0.52,0.51,0.51,73600,0.0,0.0
1980-07-23,0.0,0.59,0.57,0.57,132800,0.0,0.0
1980-07-24,0.0,0.56,0.55,0.55,243200,0.0,0.0
1980-07-25,0.0,0.55,0.53,0.53,44800,0.0,0.0
1980-07-28,0.0,0.52,0.51,0.51,144000,0.0,0.0
