Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.1,0.1,0.1,902400,0.0,0.0
1962-01-03,0.0,0.1,0.1,0.1,1200000,0.0,0.0
1962-01-04,0.0,0.1,0.1,0.1,1088000,0.0,0.0
1962-01-05,0.0,0.1,0.1,0.1,1222400,0.0,0.0
1962-01-08,0.0,0.1,0.1,0.1,1388800,0.0,0.0
1962-01-09,0.0,0.1,0.1,0.1,1065600,0.0,0.0
1962-01-10,0.0,0.1,0.1,0.1,828800,0.0,0.0
1962-01-11,0.0,0.1,0.1,0.1,617600,0.0,0.0
1962-01-12,0.0,0.1,0.1,0.1,1398400,0.0,0.0
1962-01-15,0.0,0.1,0.1,0.1,966400,0.0,0.0
1962-01-16,0.0,0.1,0.1,0.1,569600,0.0,0.0
1962-01-17,0.0,0.1,0.1,0.1,832000,0.0,0.0
1962-01-18,0.0,0.1,0.1,0.1,844800,0.0,0.0
1962-01-19,0.0,0.1,0.1,0.1,720000,0.0,0.0
1962-01-22,0.0,0.1,0.1,0.1,745600,0.0,0.0
1962-01-23,0.0,0.1,0.1,0.1,908800,0.0,0.0
1962-01-24,0.0,0.1,0.1,0.1,841600,0.0,0.0
1962-01-25,0.0,0.1,0.1,0.1,1078400,0.0,0.0
1962-01-26,0.0,0.1,0.1,0.1,832000,0.0,0.0
1962-01-29,0.0,0.1,0.1,0.1,1462400,0.0,0.0
1962-01-30,0.0,0.1,0.1,0.1,1843200,0.0,0.0
1962-01-31,0.0,0.1,0.1,0.1,1718400,0.0,0.0
1962-02-01,0.0,0.11,0.1,0.11,2371200,0.0,0.0
1962-02-02,0.0,0.11,0.11,0.11,2310400,0.0,0.0
1962-02-05,0.0,0.11,0.11,0.11,1977600,0.0,0.0
1962-02-06,0.0,0.11,0.11,0.11,1446400,0.0,0.0
1962-02-07,0.0,0.11,0.11,0.11,1126400,0.02,0.0
1962-02-08,0.0,0.11,0.11,0.11,684800,0.0,0.0
1962-02-09,0.0,0.11,0.11,0.11,563200,0.0,0.0
1962-02-12,0.0,0.11,0.11,0.11,428800,0.0,0.0
1962-02-13,0.0,0.11,0.11,0.11,873600,0.0,0.0
1962-02-14,0.0,0.11,0.11,0.11,636800,0.0,0.0
1962-02-15,0.0,0.11,0.11,0.11,742400,0.0,0.0
1962-02-16,0.0,0.11,0.11,0.11,816000,0.0,0.0
1962-02-19,0.0,0.11,0.11,0.11,1657600,0.0,0.0
1962-02-20,0.0,0.11,0.11,0.11,800000,0.0,0.0
1962-02-21,0.0,0.11,0.11,0.11,681600,0.0,0.0
1962-02-23,0.0,0.11,0.11,0.11,793600,0.0,0.0
1962-02-26,0.0,0.11,0.11,0.11,640000,0.0,0.0
1962-02-27,0.0,0.11,0.11,0.11,908800,0.0,0.0
1962-02-28,0.0,0.11,0.11,0.11,2131200,0.0,0.0
1962-03-01,0.0,0.11,0.11,0.11,899200,0.0,0.0
1962-03-02,0.0,0.11,0.11,0.11,838400,0.0,0.0
1962-03-05,0.0,0.11,0.11,0.11,1011200,0.0,0.0
1962-03-06,0.0,0.11,0.11,0.11,550400,0.0,0.0
1962-03-07,0.0,0.11,0.11,0.11,985600,0.0,0.0
1962-03-08,0.0,0.11,0.11,0.11,1190400,0.0,0.0
1962-03-09,0.0,0.11,0.11,0.11,825600,0.0,0.0
1962-03-12,0.0,0.11,0.11,0.11,611200,0.0,0.0
1962-03-13,0.0,0.11,0.11,0.11,656000,0.0,0.0
1962-03-14,0.0,0.11,0.11,0.11,681600,0.0,0.0
1962-03-15,0.0,0.11,0.11,0.11,1107200,0.0,0.0
1962-03-16,0.0,0.11,0.11,0.11,624000,0.0,0.0
1962-03-19,0.0,0.11,0.11,0.11,809600,0.0,0.0
1962-03-20,0.0,0.11,0.11,0.11,822400,0.0,0.0
1962-03-21,0.0,0.11,0.11,0.11,764800,0.0,0.0
1962-03-22,0.0,0.11,0.11,0.11,633600,0.0,0.0
1962-03-23,0.0,0.11,0.11,0.11,768000,0.0,0.0
1962-03-26,0.0,0.11,0.11,0.11,678400,0.0,0.0
